,Rank,r2,r,Ligand,Missingness
16,5,-0.4954761744966274,0.19033008093478937,FcR2B,0.1
17,5,0.5595017901717505,0.8428790298892871,FcR2B,0.1
18,5,0.8347094153570629,0.9192269874329329,FcR2B,0.1
19,5,0.8197511215446466,0.9151509634826439,FcR2B,0.1
20,5,0.04142959592688,0.6856519651245147,FcR3A,0.1
21,5,0.02260584360010154,0.6132833086230604,FcR3A,0.1
22,5,-0.6559719515295057,0.5041288762620115,FcR3A,0.1
23,5,-0.7977948724871049,0.5969702098678421,FcR3A,0.1
24,5,-0.2788986285980315,0.5423468874680681,FcR3A,0.1
25,5,0.6764647085416744,0.8614318901456107,FcR3B,0.1
26,5,0.9508781889628998,0.975944222343022,FcR3B,0.1
27,5,0.9467609169288134,0.9740912996313095,FcR3B,0.1
28,5,0.9319452008401794,0.9675324478888788,FcR3B,0.1
29,5,0.9415256845090458,0.9705704157855143,FcR3B,0.1
