Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
47,B.1.617.2.RBD,0.013903703356498409,0.013904450165242046,92755.39655113054,495098.6448317324
47,B.617.1.RBD,0.0770420580050366,0.07705958555858085,96129.59008087996,546951.8619688749
47,B.617.1.S,10775.96542872198,658.8710995352512,432568.8315731938,3981475.1426030793
47,B.617.2.S,7.284372916486267,7.25566021292814,233873.27237239055,1108463.1271244788
47,WT.N,487.9314825469379,487.8404865916169,285435.5707803737,1218217.8279641268
47,WT.NTD,0.020014482333676975,0.020015862355714325,112094.67599586688,650984.5227209254
47,WT.RBD,2.5728409359882436,2.573291921478484,247851.33311276257,818143.0000529506
47,WT.S,0.03740159062272444,0.037403745029179265,170233.3529874032,770522.7900926021
47,WT.S1,0.014332103082509717,0.014332532025634687,125041.89901952201,626469.1997680978
47,WT.S2,0.1457170078333064,0.14576679893772923,112548.38260736111,743586.1028419939
48,B.1.1.7.RBD,1135.9741075367479,703.668312660378,411405.51978362,431880.6810111797
48,B.1.1.7.S,5448.681655566758,2362.097978642588,1032045.8409234463,651731.2329273196
48,B.1.351.RBD,0.5547495694080754,0.5555265575434836,210586.0898929517,716431.4289538008
48,B.1.351.S,211.53933275538583,182.52860656263482,1102359.6930519852,1870919.6757499482
48,B.1.617.2.RBD,0.05512576930080108,0.05513271954775278,149760.79802842427,517613.5425974582
48,B.617.1.RBD,0.45648041847255677,0.4568874359143289,246924.5103212458,617850.3827693497
48,B.617.1.S,203456.7336244613,5036.013499434875,1941776.573347225,1175034.3866212957
48,B.617.2.S,18762.145046738613,3805.192114950928,1546756.0542194212,972408.7292780506
48,WT.N,2425.1082463536577,2019.0101118911466,717857.942180834,594526.1920165017
48,WT.NTD,9.146508239637356,9.256028519677692,557883.034592221,854064.6987472061
48,WT.RBD,37629.822109178276,5770.389304093485,1275851.6307412803,507250.2083791113
48,WT.S,147.78808069024544,139.94638068800413,815394.4324403087,911537.5589413679
48,WT.S1,25.753194689751876,25.41332821149338,496973.2154343284,456698.3102801607
48,WT.S2,54803.476478431454,5899.277934611109,2930442.653767578,1627373.8173178572
49,B.1.1.7.RBD,19.896073569055286,20.342211086960972,221652.78625591777,330579.9655560638
49,B.1.1.7.S,38.234386760032265,37.17083570144991,443479.8540913948,319081.8997461572
49,B.1.351.RBD,0.060056452120594274,0.060069110777173376,133095.70227248064,503526.30274504307
